Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
NE TILLAMOOK ST / NE 72ND AVE,22-82943,Property,Madison South,3/9/2022,1200,Motor Vehicle Theft,Motor Vehicle Theft,45.537224058,-122.589319780,3/28/2022,1
NE TILLAMOOK ST / NE 72ND DR,22-900631,Property,Madison South,1/5/2022,0100,Larceny Offenses,All Other Larceny,45.537224058,-122.589319780,1/6/2022,1
NE TILLAMOOK ST / NE 77TH AVE,22-42588,Property,Madison South,2/14/2022,2214,Robbery,Robbery,45.537247545,-122.584097097,2/14/2022,1
NE VICTORIA AVE / NE BROADWAY,22-36951,Property,Eliot,2/8/2022,2145,Larceny Offenses,Theft From Motor Vehicle,45.535102279,-122.665703479,2/8/2022,1
NE VICTORIA AVE / NE BROADWAY,22-905023,Property,Eliot,2/19/2022,1715,Vandalism,Vandalism,45.535102279,-122.665703479,2/20/2022,1
NE VICTORIA AVE / NE WEIDLER ST,22-904121,Property,Lloyd,2/9/2022,1900,Larceny Offenses,Theft From Motor Vehicle,45.534366994,-122.665702754,2/10/2022,1
NE WEIDLER ST / NE 14TH AVE,22-903348,Property,Lloyd,2/5/2022,1850,Vandalism,Vandalism,45.534334636,-122.651503081,2/5/2022,1
NE WEIDLER ST / NE 14TH AVE,22-908820,Property,Lloyd,3/30/2022,1930,Larceny Offenses,Theft From Motor Vehicle,45.534334636,-122.651503081,3/31/2022,1
NE WEIDLER ST / NE 30TH AVE,22-35729,Property,Sullivan's Gulch,2/7/2022,1245,Motor Vehicle Theft,Motor Vehicle Theft,45.534466609,-122.635010300,2/7/2022,1
NE WEIDLER ST / NE 32ND AVE,22-73454,Property,Sullivan's Gulch,3/18/2022,2130,Robbery,Robbery,45.534461113,-122.633237739,3/19/2022,1
NE WEIDLER ST / NE 32ND AVE,22-901550,Property,Sullivan's Gulch,1/15/2022,0020,Larceny Offenses,Theft From Motor Vehicle,45.534461113,-122.633237739,1/15/2022,1
NE WEIDLER ST / NE 32ND AVE,22-907495,Property,Sullivan's Gulch,3/16/2022,2245,Larceny Offenses,Theft From Motor Vehicle,45.534461113,-122.633237739,3/17/2022,1
NE WEIDLER ST / NE 108TH AVE,22-20631,Property,Parkrose Heights,1/22/2022,1700,Motor Vehicle Theft,Motor Vehicle Theft,45.534155883,-122.551597998,1/22/2022,1
NE WHITAKER WAY / NE 135TH AVE,22-80259,Person,Argay,3/25/2022,1901,Assault Offenses,Simple Assault,45.557468563,-122.523842161,3/25/2022,1
NE WILKINS ST / NE TRAILWALK DR,22-900514,Property,,11/15/2021,1159,Larceny Offenses,All Other Larceny,45.527113132,-122.892425394,1/6/2022,1
NE WISTARIA DR / NE 54TH AVE,22-900529,Property,Rose City Park,1/6/2022,0825,Larceny Offenses,Theft From Motor Vehicle,45.541295709,-122.607644124,1/6/2022,1
NE WYGANT ST / NE 18TH AVE,22-903661,Property,Sabin,2/8/2022,0355,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.557696822,-122.646796250,2/8/2022,1
NE WYGANT ST / NE 19TH AVE,22-23395,Property,Sabin,1/25/2022,1130,Motor Vehicle Theft,Motor Vehicle Theft,45.557693102,-122.645819740,1/25/2022,1
NE WYGANT ST / NE 102ND AVE,22-39463,Property,Parkrose,2/11/2022,0600,Motor Vehicle Theft,Motor Vehicle Theft,45.557198406,-122.557765782,2/11/2022,1
NE WYGANT ST / NE 105TH AVE,22-907839,Property,Parkrose,3/20/2022,1800,Vandalism,Vandalism,45.557198012,-122.554719609,3/20/2022,1
NW 2ND AVE / NW COUCH ST,22-41109,Person,Old Town/Chinatown,2/13/2022,0812,Assault Offenses,Simple Assault,45.523850469,-122.672393687,2/13/2022,1
NW 2ND AVE / NW COUCH ST,22-82648,Property,Old Town/Chinatown,3/28/2022,0812,Larceny Offenses,All Other Larceny,45.523850469,-122.672393687,3/28/2022,1
NW 2ND AVE / NW COUCH ST,22-83186,Person,Old Town/Chinatown,3/28/2022,1841,Assault Offenses,Aggravated Assault,45.523850469,-122.672393687,3/28/2022,1
NW 2ND AVE / NW COUCH ST,22-83186,Society,Old Town/Chinatown,3/28/2022,1841,Weapon Law Violations,Weapons Law Violations,45.523850469,-122.672393687,3/28/2022,1
NW 2ND AVE / NW COUCH ST,22-901620,Property,Old Town/Chinatown,1/15/2022,1400,Larceny Offenses,Theft From Motor Vehicle,45.523850469,-122.672393687,1/15/2022,1
NW 2ND AVE / NW DAVIS ST,22-44149,Society,Old Town/Chinatown,2/16/2022,1230,Drug/Narcotic Offenses,Drug/Narcotic Violations,45.524563381,-122.672417062,2/17/2022,1
NW 2ND AVE / NW DAVIS ST,22-54684,Property,Old Town/Chinatown,2/26/2022,2030,Motor Vehicle Theft,Motor Vehicle Theft,45.524563381,-122.672417062,2/27/2022,1
NW 2ND AVE / NW EVERETT ST,22-3584,Person,Old Town/Chinatown,1/5/2022,0740,Assault Offenses,Simple Assault,45.525281480,-122.672456249,1/5/2022,1
