,Sale Date,Home Type,City,Zip Code,Year Built,Bed,Bath,Sale Price,Property Tax Rate,Square Feet,Lot Size
366,2021-01-29,Single Family,Portland,97230,1966,3,2.0,428100,1.12,2160,7840
368,2021-01-29,Single Family,Portland,97233,1957,4,2.0,349950,1.12,2132,7405
369,2021-02-04,Single Family,Gresham,97030,2003,3,2.0,360000,1.12,1074,4356
371,2021-02-10,Single Family,Portland,97230,1955,3,1.0,500000,1.12,1104,57063
372,2021-02-04,Single Family,Gresham,97030,1970,3,1.0,350000,1.12,1381,7840
373,2021-02-10,Single Family,Portland,97230,1977,3,2.0,261000,1.12,1180,9583
374,2021-02-10,Single Family,Gresham,97030,2017,3,4.0,540000,1.12,2290,5227
376,2021-02-10,Single Family,Portland,97230,2006,3,3.0,429900,1.12,2025,5227
378,2021-02-17,Single Family,Portland,97230,1964,3,3.0,460000,1.12,2304,7405
379,2021-02-18,Single Family,Portland,97230,1956,3,2.0,362000,1.12,1238,10018
380,2021-02-17,Single Family,Portland,97230,1955,3,2.0,334500,1.12,2197,10454
381,2020-12-21,Single Family,Gresham,97080,1994,4,2.0,445000,1.12,1984,10890
382,2020-12-21,Single Family,Gresham,97080,1994,3,3.0,605000,1.12,3367,15681
383,2020-12-22,Single Family,Gresham,97080,2008,4,3.0,617000,1.12,3049,10018
384,2020-12-29,Single Family,Gresham,97080,1997,3,3.0,600000,1.12,2495,9147
385,2020-12-30,Single Family,Gresham,97080,2006,4,3.0,406900,1.12,2072,5227
386,2021-01-01,Single Family,Gresham,97080,2002,3,2.0,391500,1.12,1443,4791
388,2021-02-18,Single Family,Portland,97233,1954,2,1.0,288000,1.12,812,4791
391,2021-02-23,Single Family,Portland,97233,1956,3,1.0,345000,1.12,912,9147
392,2021-02-23,Single Family,Gresham,97030,1961,3,1.0,267000,1.12,1092,7500
393,2021-04-06,Single Family,Gresham,97080,2019,5,3.0,581489,1.12,2892,4791
394,2021-04-15,Single Family,Gresham,97080,1953,4,2.0,385000,1.12,1390,6950
